logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	Accession2	gene	xaxis	yaxis	comparison	corrected_z	error	WTexpression
11.2225923640238	9.70525121656495	12.7399335114826	2.72980878515394	17.2129325314194	2.31193021986375e-07	0.00070282678683858	4.77493690296671	MMAR_2874	MMAR_2874	-4.62446562490158	11.2225923640238	d3692	3.40379439393971	6.46228252583349	-4.62446562490158
5.28612234098245	4.03668126783579	6.53556341412912	-2.59092585544966	9.25340883645097	1.0671635254417e-06	0.00119323394925111	5.6336840983963	MMAR_3017	MMAR_3017	-5.16801215905927	5.28612234098245	d3692	3.25194405412968	3.18603260568653	-5.16801215905927
11.6091325023415	8.95856494756098	14.2597000571221	3.08467668063561	9.68450484715154	1.35983768014957e-06	0.00119323394925111	5.56052906264056	MMAR_2877	cyp278A1	-3.0535586173637	11.6091325023415	d3692	3.25194405412968	6.99701450143153	-3.0535586173637
4.477707562742	3.2393353411448	5.71607978433921	0.451326405364047	7.72529359026354	1.57004467006725e-06	0.00119323394925111	5.44259998528533	MMAR_3690	mbtF	0.0188191300933548	4.477707562742	d3692	3.25194405412968	2.69878776414656	0.0188191300933548
2.07686788041602	1.4387955446319	2.71494021620015	-0.112531303564795	6.95423595933348	5.35092181077521e-06	0.00325336046095133	4.31474988954352	MMAR_0550	mycP3	-0.594228574714666	2.07686788041602	d3692	2.94762893948508	1.38099507407011	-0.594228574714666
3.76958884578183	2.61901162510012	4.92016606646355	-0.982755165422214	7.10079225234784	9.5462451647218e-06	0.00483676421679238	3.82984276463082	MMAR_3695	mbtD	-1.33263346829753	3.76958884578183	d3692	2.82038352624035	2.61964164412113	-1.33263346829753
6.80060962563202	4.59062152625553	9.01059772500852	-1.24735268593016	6.61819391472672	1.33332368041874e-05	0.0057904342692471	3.49193102749666	MMAR_2989	MMAR_2989	-4.34580145661089	6.80060962563202	d3692	2.7611645505653	4.82738157112361	-4.34580145661089
6.16539026068955	4.59737319459187	7.73340732678723	3.35938530057549	9.15070806262557	2.28303893612004e-05	0.00867554795725616	2.55578295158674	MMAR_2875	MMAR_2875	-0.268887132079231	6.16539026068955	d3692	2.62445683800361	4.6044441409613	-0.268887132079231
6.88265897321178	4.62395777777711	9.14136016864645	-1.83363702207635	6.66465677860797	2.72998729842867e-05	0.00887832298939021	2.88874668468126	MMAR_3691	mbtE	-4.08603460950756	6.88265897321178	d3692	2.61648225409176	5.15578180069782	-4.08603460950756
2.55547948539558	1.63957607910033	3.47138289169084	-0.51559598198617	5.96119314022842	2.92050098335204e-05	0.00887832298939021	2.72534055485519	MMAR_0542	eccB3	-1.20594341791245	2.55547948539558	d3692	2.61648225409176	1.91430298582858	-1.20594341791245
2.51768556138127	1.59535998750991	3.44001113525263	1.49980774348076	5.8321368600896	3.67767139919528e-05	0.0101637464123215	2.50741317726356	MMAR_3688	cfp2	0.16457191792043	2.51768556138127	d3692	2.56944041255063	1.92052077806652	0.16457191792043
5.70783672270477	3.81078387698432	7.60488956842522	-2.38133822023432	6.65286395288514	4.30157608350382e-05	0.0108973260782097	2.45967290116056	MMAR_5188	MMAR_5188	-4.70067669602952	5.70783672270477	d3692	2.54494111372301	4.39592095713966	-4.70067669602952
1.9277075637755	1.1511817297676	2.70423339778341	0.959367305287496	5.30390468625496	9.67404364715938e-05	0.0226223789902804	1.58911285103368	MMAR_0733	MMAR_0733	0.195423821219302	1.9277075637755	d3692	2.27668010523276	1.65956860444111	0.195423821219302
10.6155205342882	6.71344242802204	14.5175986405544	2.31298047196989	6.19797575969997	0.000192632822070422	0.041828841363863	1.03245323803758	MMAR_2878	MMAR_2878	-4.72972594047275	10.6155205342882	d3692	2.03173508445583	10.2407151436171	-4.72972594047275
4.68953241533256	2.69240901164442	6.6866558190207	-2.58833804148973	5.0892435587361	0.000228822659205729	0.0463747255990277	0.853455995475211	MMAR_5061	MMAR_5061	-5.28801913800274	4.68953241533256	d3692	1.98855882641952	4.62218336814378	-5.28801913800274
4.60635792777679	2.81123477523051	6.40148108032307	-2.00174227583773	5.84612328323609	0.00029172248509566	0.050032085625687	0.811679197638939	MMAR_3689	mbtB	-3.33762505945327	4.60635792777679	d3692	1.95636800356281	4.61490962947689	-3.33762505945327
3.0156866916046	1.67161546685869	4.35975791635051	-1.58526888390218	4.82553548103862	0.000291965111999093	0.050032085625687	0.568117403761706	MMAR_0551	eccE3	-2.45173900657437	3.0156866916046	d3692	1.95636800356281	3.02128531277384	-2.45173900657437
2.48584692517264	1.41314223693396	3.55855161341132	-4.01522004715421	5.06844248077631	0.000306450068894242	0.050032085625687	0.616831846357233	MMAR_0452	fadD4	-4.65982363421503	2.48584692517264	d3692	1.95636800356281	2.49046189902172	-4.65982363421503
5.17679091953769	3.05838951461409	7.29519232446129	-2.06966227398962	5.47580889515615	0.000312700535160543	0.050032085625687	0.685665016311167	MMAR_3697	mbtG	-3.76141096728175	5.17679091953769	d3692	1.95636800356281	5.18640162986498	-3.76141096728175
4.36289067727597	2.47314143440461	6.25263992014733	-2.58627924445653	5.17328094785249	0.000475399152404641	0.0722606711655055	0.283549154269475	MMAR_3698	mbtA	-4.97135633855466	4.36289067727597	d3692	1.79496265259949	4.76403546061354	-4.97135633855466
-3.97416797082149	-5.35361728025179	-2.59471866139118	0.518478306382562	-7.17313562370781	0.000503510390531266	0.0723876192195904	0.160343630798324	MMAR_2520	MMAR_2520	0.661054822945021	-3.97416797082149	d3692	1.79416845827229	4.3414926769535	0.661054822945021
