logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	Accession2	gene	xaxis	yaxis	comparison	corrected_z	error	WTexpression
9.25980479701378	6.10880803379136	12.4108015602362	4.96739269198688	5.93558419584663	5.42329802032613e-07	0.000643745475012711	5.12167912462865	MMAR_2877	cyp278A1	-1.21363677293403	9.25980479701378	d3692	3.42846500426498	5.29368606054592	-1.21363677293403
-10.2389982068092	-15.168758945725	-5.30923746789348	-1.02329329514833	-4.20903433214193	0.000157928851223067	0.0937307732008905	-0.136939096952534	MMAR_2285	iipB	4.33618878801253	-10.2389982068092	d3692	1.67454454826568	11.9844148106606	4.33618878801253
8.2122117862816	4.08187278201802	12.3425507905452	1.03771149929074	4.01898896845133	0.00025242126085517	0.0998746788783621	-0.0350431744845157	MMAR_2878	MMAR_2878	-3.84116641338568	8.2122117862816	d3692	1.64427795200126	9.78905973988245	-3.84116641338568
-8.34980620882444	-12.7119243396018	-3.98768807804711	3.43203977501951	-3.88276607845832	0.000426207814535462	0.126477168963398	-0.505625277539277	MMAR_3965	MMAR_3965	-6.30089010511658	-8.34980620882444	d3692	1.52834204684883	10.7080873702578	-6.30089010511658
5.01191868390908	2.28310826592001	7.74072910189815	0.59301544818213	3.70198144731647	0.000594731498314018	0.141189257699748	-0.35890495766377	MMAR_1903	echA16_2	-2.31275737902259	5.01191868390908	d3692	1.47235222303226	6.6718822213824	-2.31275737902259
5.61169668471911	2.49150081809475	8.73189255134348	-0.125744469131297	3.6299887857424	0.000766079573781326	0.149370967306967	-0.621433522951541	MMAR_4328	metE	-2.39417528378509	5.61169668471911	d3692	1.44316353833314	7.62139924540585	-2.39417528378509
5.25711238903499	2.24428447454387	8.26994030352611	0.903930797994639	3.51480969206979	0.00101903823197537	0.149370967306967	-0.806093788711339	MMAR_4375	glyA1	-2.20583686984668	5.25711238903499	d3692	1.44316353833314	7.13982858409078	-2.20583686984668
5.04661665126931	2.07171523705454	8.02151806548409	4.67220394171192	3.41305149485206	0.00133437922844068	0.149370967306967	-1.032139071985	MMAR_1928	ald	2.04229498458679	5.04661665126931	d3692	1.44316353833314	6.8539485468933	2.04229498458679
4.8184931713846	1.97411225954716	7.66287408322203	-0.700321779898948	3.41234059284304	0.00137526095315801	0.149370967306967	-1.05346287751359	MMAR_3645	cysK1	-3.90725470024415	4.8184931713846	d3692	1.44316353833314	6.54412778944091	-3.90725470024415
4.8318403397462	1.94463908540871	7.71904159408369	0.549763350404232	3.36705817609161	0.00152635068237856	0.149370967306967	-1.14291390875242	MMAR_4893	cfp29	-1.60680136249287	4.8318403397462	d3692	1.44316353833314	6.5622549450223	-1.60680136249287
4.81404844788671	1.92694998623413	7.70114690953929	0.863908602149441	3.35672046270805	0.00159368479585335	0.149370967306967	-1.17672959541197	MMAR_4557	pgi	-1.80317690477224	4.81404844788671	d3692	1.44316353833314	6.53809128850082	-1.80317690477224
4.4551469515402	1.77566567897634	7.13462822410405	-0.0240633739022274	3.3491930999405	0.00165091021504007	0.149370967306967	-1.20396798450459	MMAR_1875	mtr	-2.47670894922988	4.4551469515402	d3692	1.44316353833314	6.05065731850762	-2.47670894922988
4.66714053395548	1.84373181238728	7.49054925552368	-0.820550699369464	3.3297069032104	0.00174608006886248	0.149370967306967	-1.2501024061491	MMAR_4098	prfA	-3.41005088907521	4.66714053395548	d3692	1.44316353833314	6.3385716196227	-3.41005088907521
5.02439403555764	1.96549658014595	8.08329149096933	-0.438603397672642	3.31071929112955	0.00186890931115141	0.149370967306967	-1.33596040878872	MMAR_2706	MMAR_2706	-3.92522694439654	5.02439403555764	d3692	1.44316353833314	6.8237674027347	-3.92522694439654
4.73036905544728	1.84297179718356	7.61776631371101	1.15455123248889	3.29803150475942	0.00188758593900969	0.149370967306967	-1.31601666906947	MMAR_1762	pks15/1	-1.67975897318975	4.73036905544728	d3692	1.44316353833314	6.42444400957171	-1.67975897318975
4.96589552729564	1.91667962724389	8.01511142734738	-0.170564534704846	3.28702005856883	0.00205625905571857	0.152548718696121	-1.40867395834791	MMAR_2341	fadD25	-3.32976728357904	4.96589552729564	d3692	1.43216044035565	6.79613467823645	-3.32976728357904
4.43047331550185	1.67553100623457	7.18541562476912	-1.01661431972533	3.23941431128916	0.00225920832696532	0.157745899065167	-1.46191315473044	MMAR_3721	MMAR_3721	-3.08215401315441	4.43047331550185	d3692	1.41454003642716	6.13890556277002	-3.08215401315441
4.32386686084168	1.60895140472773	7.03878231695563	-0.414019311408136	3.20613878304752	0.0024530941591856	0.161767931497406	-1.531289647779	MMAR_4074	MMAR_4074	-2.80393092552033	4.32386686084168	d3692	1.40120753616531	6.04819687913087	-2.80393092552033
-7.77747087223894	-12.7286941494445	-2.82624759503342	-0.707222213700141	-3.18950703260251	0.00301149724442494	0.188139327849074	-2.02181479047468	MMAR_4966	cpsA	3.00324565950365	-7.77747087223894	d3692	1.3195261295874	11.5525131088953	3.00324565950365
4.25227400550304	1.47030230991448	7.03424570109159	1.46945199572798	3.07527272985014	0.00350499970686869	0.204899219291924	-1.82523756479805	MMAR_3773	MMAR_3773	-0.553122514395032	4.25227400550304	d3692	1.27198918216104	6.55230183375159	-0.553122514395032
4.42352717831333	1.52147477897266	7.325579577654	0.71712765904264	3.07038142695105	0.00362500724947802	0.204899219291924	-1.84933090212075	MMAR_4526	moaB2	-2.07630743686627	4.42352717831333	d3692	1.27198918216104	6.81618475305277	-2.07630743686627
